replicate,seed,inv_epsilon,epsilon,checkpoint,filter,delta,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error
0,20260723,30.0,0.03333333333333333,1000,alf_delta_one,1.0,1991,20000,0.09955,0.09547720363032708,0.10377659804700712,0.11337324605540518,0.8780731209843828
0,20260723,30.0,0.03333333333333333,1000,lof_bayes_optimal,,1021,20000,0.05105,0.04808491847371529,0.05418751070106106,0.11337324605540518,0.45028259996235803
0,20360726,40.0,0.025,900,alf_sqrt_epsilon,0.15811388300841897,1457,20000,0.07285,0.0693296128395728,0.07653444356315738,0.09222198635284841,0.7899417794068141
0,20360726,40.0,0.025,900,alf_0.7_over_log,0.18975952147727174,1272,20000,0.0636,0.06030094506354619,0.06706666400622194,0.09222198635284841,0.689640318054542
0,20360726,40.0,0.025,900,alf_epsilon_squared,0.0006250000000000001,8875,20000,0.44375,0.4368759260941829,0.45064567796212884,0.09222198635284841,4.811759294602248
0,20360726,40.0,0.025,900,alf_delta_zero,0.0,9982,20000,0.4991,0.4921713303240064,0.5060290153408946,0.09222198635284841,5.41194155253179
0,20360726,40.0,0.025,900,alf_delta_one,1.0,1954,20000,0.0977,0.09366205849878331,0.10189245371195846,0.09222198635284841,1.05940029990454
0,20360726,40.0,0.025,900,lof_bayes_optimal,,825,20000,0.04125,0.03858083576904986,0.04409535731242614,0.09222198635284841,0.4472903006249977
0,20360726,40.0,0.025,950,alf_sqrt_epsilon,0.15811388300841897,1525,20000,0.07625,0.07265267148782738,0.08001007906972128,0.09222198635284841,0.8268093435795412
0,20360726,40.0,0.025,950,alf_0.7_over_log,0.18975952147727174,1321,20000,0.06605,0.06269049378150784,0.06957617431158536,0.09222198635284841,0.71620665106136
0,20360726,40.0,0.025,950,alf_epsilon_squared,0.0006250000000000001,8995,20000,0.44975,0.4428658697093568,0.4566534299142817,0.09222198635284841,4.876819701965884
0,20360726,40.0,0.025,950,alf_delta_zero,0.0,9866,20000,0.4933,0.4863730548914795,0.5002295183916724,0.09222198635284841,5.349049825413609
0,20360726,40.0,0.025,950,alf_delta_one,1.0,2002,20000,0.1001,0.0960169270094839,0.10433666342818858,0.09222198635284841,1.0854244628499943
0,20360726,40.0,0.025,950,lof_bayes_optimal,,851,20000,0.04255,0.039839424212362855,0.04543626957536726,0.09222198635284841,0.46138672222045213
0,20360726,40.0,0.025,1000,alf_sqrt_epsilon,0.15811388300841897,1529,20000,0.07645,0.07284821350106967,0.08021446024205657,0.09222198635284841,0.8289780238249957
0,20360726,40.0,0.025,1000,alf_0.7_over_log,0.18975952147727174,1353,20000,0.06765,0.06425175183396292,0.07121430174375076,0.09222198635284841,0.7335560930249962
0,20360726,40.0,0.025,1000,alf_epsilon_squared,0.0006250000000000001,8962,20000,0.4481,0.4412185340829736,0.45500139925965,0.09222198635284841,4.858928089940884
0,20360726,40.0,0.025,1000,alf_delta_zero,0.0,10002,20000,0.5001,0.49317112720390416,0.5070288343888846,0.09222198635284841,5.422784953759063
0,20360726,40.0,0.025,1000,alf_delta_one,1.0,1987,20000,0.09935,0.09528095024293046,0.10357292824882616,0.09222198635284841,1.0772919119295399
0,20360726,40.0,0.025,1000,lof_bayes_optimal,,859,20000,0.04295,0.04022682667841999,0.04584871348046526,0.09222198635284841,0.4657240827113613
0,20460729,50.0,0.02,900,alf_sqrt_epsilon,0.1414213562373095,1439,20000,0.07195,0.06845035534878731,0.07561404671884385,0.07824046010856292,0.919600931540605
0,20460729,50.0,0.02,900,alf_0.7_over_log,0.17893555304473202,1132,20000,0.0566,0.05348182362994387,0.05988847394460971,0.07824046010856292,0.723410878737988
0,20460729,50.0,0.02,900,alf_epsilon_squared,0.0004,8868,20000,0.4434,0.43652654406406743,0.45029519441748367,0.07824046010856292,5.667144587145299
0,20460729,50.0,0.02,900,alf_delta_zero,0.0,10029,20000,0.50145,0.494520896946974,0.5083785461484632,0.07824046010856292,6.409088076734347
0,20460729,50.0,0.02,900,alf_delta_one,1.0,1986,20000,0.0993,0.09523188770392345,0.1035220099914388,0.07824046010856292,1.2691643155244208
0,20460729,50.0,0.02,900,lof_bayes_optimal,,778,20000,0.0389,0.036307605375619924,0.041669490275319764,0.07824046010856292,0.4971852152457196
0,20460729,50.0,0.02,950,alf_sqrt_epsilon,0.1414213562373095,1430,20000,0.0715,0.06801078735790951,0.07515378754217215,0.07824046010856292,0.9138494316213099
0,20460729,50.0,0.02,950,alf_0.7_over_log,0.17893555304473202,1140,20000,0.057,0.053871138667347676,0.06029900527836103,0.07824046010856292,0.7285233231106947
0,20460729,50.0,0.02,950,alf_epsilon_squared,0.0004,8882,20000,0.4441,0.4372253115842494,0.45099615804682314,0.07824046010856292,5.676091364797535
0,20460729,50.0,0.02,950,alf_delta_zero,0.0,9977,20000,0.49885,0.49192138543374675,0.5057790562491823,0.07824046010856292,6.375857188311755
0,20460729,50.0,0.02,950,alf_delta_one,1.0,1967,20000,0.09835,0.0942997611904781,0.10255450137339077,0.07824046010856292,1.2570222601392425
0,20460729,50.0,0.02,950,lof_bayes_optimal,,720,20000,0.036,0.033506013762999234,0.038672195697065856,0.07824046010856292,0.46011999354359656
0,20460729,50.0,0.02,1000,alf_sqrt_epsilon,0.1414213562373095,1390,20000,0.0695,0.06605765261158714,0.07310769043271895,0.07824046010856292,0.8882872097577769
0,20460729,50.0,0.02,1000,alf_0.7_over_log,0.17893555304473202,1147,20000,0.05735,0.0542118257832737,0.060658183737195726,0.07824046010856292,0.7329967119368129
0,20460729,50.0,0.02,1000,alf_epsilon_squared,0.0004,8885,20000,0.44425,0.4373750492818133,0.4511463627384423,0.07824046010856292,5.6780085314373
0,20460729,50.0,0.02,1000,alf_delta_zero,0.0,10015,20000,0.50075,0.4938210100353852,0.5076787019105308,0.07824046010856292,6.400141299082112
0,20460729,50.0,0.02,1000,alf_delta_one,1.0,2009,20000,0.10045,0.09636040752775475,0.10469304848467846,0.07824046010856292,1.2838625930959522
0,20460729,50.0,0.02,1000,lof_bayes_optimal,,734,20000,0.0367,0.034181867021344764,0.03939607358824179,0.07824046010856292,0.4690667711958333
0,20560732,60.0,0.016666666666666666,900,alf_sqrt_epsilon,0.12909944487358055,1286,20000,0.0643,0.060983530709389056,0.06778380950990051,0.06823907603703501,0.942275360895901
0,20560732,60.0,0.016666666666666666,900,alf_0.7_over_log,0.1709675356731806,983,20000,0.04915,0.04623955387405831,0.05223360503773123,0.06823907603703501,0.7202618038574423
0,20560732,60.0,0.016666666666666666,900,alf_epsilon_squared,0.0002777777777777778,8793,20000,0.43965,0.4327833825239756,0.4465397962279963,0.06823907603703501,6.442789462175472
