seed,inv_epsilon,epsilon,checkpoint,filter,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error,action_0_count,action_1_count,action_2_count,action_3_count
2026072303,30.0,0.03333333333333333,900,time_varying_alf_sqrt_epsilon,3764,20000,0.1882,0.18284295891460517,0.19367679476998167,0.11337324605540518,1.6600036300277334,4498704,4502085,4499503,4499708
2026072303,30.0,0.03333333333333333,900,invalid_alf_epsilon_squared,15465,20000,0.77325,0.7673946572553023,0.7790003950400364,0.11337324605540518,6.820392172789292,4498704,4502085,4499503,4499708
2026072303,30.0,0.03333333333333333,900,wrong_action_control,15998,20000,0.7999,0.7942979872254933,0.8053868295480552,0.11337324605540518,7.05545644877356,4498704,4502085,4499503,4499708
2026072303,30.0,0.03333333333333333,900,action_conditioned_lof_bayes,3311,20000,0.16555,0.16046324598301462,0.17076520693491373,0.11337324605540518,1.460221046498891,4498704,4502085,4499503,4499708
2026072303,30.0,0.03333333333333333,950,time_varying_alf_sqrt_epsilon,3644,20000,0.1822,0.17691147732605245,0.18761058079120763,0.11337324605540518,1.6070810913445963,4748594,4752339,4749667,4749400
2026072303,30.0,0.03333333333333333,950,invalid_alf_epsilon_squared,15453,20000,0.77265,0.7667893563562507,0.7784059263823553,0.11337324605540518,6.815099918920978,4748594,4752339,4749667,4749400
2026072303,30.0,0.03333333333333333,950,wrong_action_control,16031,20000,0.80155,0.7959648799817416,0.8070193030728217,0.11337324605540518,7.0700101469114225,4748594,4752339,4749667,4749400
2026072303,30.0,0.03333333333333333,950,action_conditioned_lof_bayes,3149,20000,0.15745,0.15246803651668844,0.1625635273853488,0.11337324605540518,1.3887756192766558,4748594,4752339,4749667,4749400
2026072303,30.0,0.03333333333333333,1000,time_varying_alf_sqrt_epsilon,3859,20000,0.19295,0.18754019985438244,0.19847772948767137,0.11337324605540518,1.7019006398185503,4999038,5002695,4999744,4998523
2026072303,30.0,0.03333333333333333,1000,invalid_alf_epsilon_squared,15405,20000,0.77025,0.7643683216388547,0.7760278828728208,0.11337324605540518,6.793930903447724,4999038,5002695,4999744,4998523
2026072303,30.0,0.03333333333333333,1000,wrong_action_control,15968,20000,0.7984,0.7927827579811102,0.8039026349006066,0.11337324605540518,7.042225814102776,4999038,5002695,4999744,4998523
2026072303,30.0,0.03333333333333333,1000,action_conditioned_lof_bayes,3354,20000,0.1677,0.16258618544825015,0.17294144171463693,0.11337324605540518,1.4791849561936816,4999038,5002695,4999744,4998523
2026072303,40.0,0.025,900,time_varying_alf_sqrt_epsilon,3083,20000,0.15415,0.1492120610066561,0.15922077033335144,0.09222198635284841,1.6715102991840824,4503530,4500991,4497766,4497713
2026072303,40.0,0.025,900,invalid_alf_epsilon_squared,15490,20000,0.7745,0.7686557553943463,0.7802388168108523,0.09222198635284841,8.398214250522683,4503530,4500991,4497766,4497713
2026072303,40.0,0.025,900,wrong_action_control,16141,20000,0.80705,0.8015222705123286,0.8124598001456176,0.09222198635284841,8.75116696047041,4503530,4500991,4497766,4497713
2026072303,40.0,0.025,900,action_conditioned_lof_bayes,2677,20000,0.13385,0.1292013643016701,0.13863926370221527,0.09222198635284841,1.451389254270447,4503530,4500991,4497766,4497713
2026072303,40.0,0.025,950,time_varying_alf_sqrt_epsilon,3021,20000,0.15105,0.14615414664688967,0.1560798753166657,0.09222198635284841,1.637895755379537,4753488,4751328,4747680,4747504
2026072303,40.0,0.025,950,invalid_alf_epsilon_squared,15576,20000,0.7788,0.7729945019489152,0.7844984187462011,0.09222198635284841,8.444840875799956,4753488,4751328,4747680,4747504
2026072303,40.0,0.025,950,wrong_action_control,16202,20000,0.8101,0.8046048275638422,0.8154760716741618,0.09222198635284841,8.784239334213591,4753488,4751328,4747680,4747504
2026072303,40.0,0.025,950,action_conditioned_lof_bayes,2616,20000,0.1308,0.1261977993324312,0.13554400009139644,0.09222198635284841,1.4183168805272655,4753488,4751328,4747680,4747504
